word,class,level,meaning_vi
a,indefinite article,a1,một
abandon,verb,b2,bỏ rơi
ability,noun,a2,khả năng
able,adjective,a2,có thể
abolish,verb,c1,bãi bỏ
abortion,noun,c1,phá thai
about,adverb,a1,xung quanh
about,preposition,a1,về
above,adverb,a1,trên đầu
above,preposition,a1,ở trên
abroad,adverb,a2,ở nước ngoài
absence,noun,c1,sự vắng mặt
absent,adjective,c1,vắng mặt
absolute,adjective,b2,tuyệt đối
absolutely,adverb,b1,tuyệt đối
absorb,verb,b2,hấp thụ
abstract,adjective,b2,trừu tượng
absurd,adjective,c1,vô lý
abundance,noun,c1,sự phong phú
abuse,noun,c1,sự lạm dụng
abuse,verb,c1,lạm dụng
academic,adjective,b1,học viện
academic,noun,b2,hội viên học viện
academy,noun,c1,học viện
accelerate,verb,c1,tăng tốc
accent,noun,b2,giọng
accept,verb,a2,chấp nhận
acceptable,adjective,b2,chấp nhận được
acceptance,noun,c1,sự chấp nhận
access,noun,b1,lối vào
access,verb,b1,truy cập
accessible,adjective,c1,có thể truy cập
accident,noun,a2,tai nạn
accidentally,adverb,b2,vô tình
accommodate,verb,b2,chứa đựng
accommodation,noun,b1,chỗ ở
accompany,verb,b2,đi cùng
accomplish,verb,b2,hoàn thành
accomplishment,noun,c1,thành tựu
accordance,noun,c1,phù hợp
according to,preposition,a2,theo
accordingly,adverb,c1,tương ứng
account,noun,b1,sự tính toán
account,verb,b2,coi
accountability,noun,c1,trách nhiệm giải trình
accountable,adjective,c1,chịu trách nhiệm
accountant,noun,b2,nhân viên kế toán
accounting,noun,,kế toán
accumulate,verb,c1,tích lũy
accumulation,noun,c1,sự tích lũy
accuracy,noun,b2,độ chính xác
accurate,adjective,b2,chính xác
accurately,adverb,b2,chính xác
accusation,noun,c1,lời buộc tội
accuse,verb,b2,buộc tội
accused,noun,c1,bị cáo
achieve,verb,a2,đạt được
achievement,noun,b1,thành tích
acid,adjective,c1,axit
acid,noun,b2,axit
acknowledge,verb,b2,thừa nhận
acquire,verb,b2,thu được
acquisition,noun,c1,sự mua lại
acre,noun,c1,mẫu anh
across,adverb,a1,qua
across,preposition,a1,qua
act,noun,b1,hành động
act,verb,a2,đóng vai
action,noun,a1,hành động
activate,verb,b2,kích hoạt
activation,noun,c1,kích hoạt
active,adjective,a2,hoạt động
activist,noun,c1,nhà hoạt động
activity,noun,a1,hoạt động
actor,noun,a1,diễn viên
actress,noun,a1,nữ diễn viên
actual,adjective,b2,thực tế
actually,adverb,a2,thực sự
acute,adjective,c1,cấp tính
ad,noun,b1,quảng cáo
adapt,verb,b2,thích nghi
adaptation,noun,c1,sự thích nghi
add,verb,a1,thêm
addiction,noun,b2,chứng nghiện
addition,noun,b1,phép cộng
additional,adjective,b2,bổ sung
additionally,adverb,b2,thêm nữa
address,noun,a1,địa chỉ
address,verb,b2,đề địa chỉ
adequate,adjective,b2,đầy đủ
adequately,adverb,b2,đầy đủ
adhere,verb,c1,tuân theo
adjacent,adjective,c1,liền kề
adjust,verb,b2,điều chỉnh
adjustment,noun,c1,sự điều chỉnh
administer,verb,c1,quản lý
administration,noun,b2,hành chính
administrative,adjective,c1,hành chính
administrator,noun,c1,quản trị viên
admire,verb,b1,ngưỡng mộ
admission,noun,c1,sự nhập học
admit,verb,b1,thừa nhận
adolescent,noun,c1,thanh thiếu niên
adopt,verb,b2,nhận nuôi
adoption,noun,c1,sự nhận con nuôi
adult,adjective,a2,trưởng thành
adult,noun,a1,người lớn
advance,adjective,b2,tiến lên
advance,noun,b2,sự tiến lên
advance,verb,b2,đưa lên
advanced,adjective,b1,nâng cao
advantage,noun,a2,lợi thế
adventure,noun,a2,cuộc phiêu lưu
adverse,adjective,c1,bất lợi
advertise,verb,a2,quảng cáo
advertisement,noun,a2,quảng cáo
advertising,noun,a2,quảng cáo
advice,noun,a1,lời khuyên
advise,verb,b1,khuyên nhủ
advocate,noun,c1,người biện hộ
advocate,verb,c1,biện hộ
aesthetic,adjective,c1,thẩm mỹ
affair,noun,b2,chuyện
affect,verb,a2,ảnh hưởng
affection,noun,c1,tình cảm
afford,verb,b1,đủ khả năng
affordable,adjective,b2,giá cả phải chăng
afraid,adjective,a1,sợ hãi
after,adverb,a2,sau
after,conjunction,a2,sau khi
after,preposition,a1,sau
aftermath,noun,c1,hậu quả
afternoon,noun,a1,buổi chiều
afterwards,adverb,b2,sau đó
again,adverb,a1,một lần nữa
against,preposition,a2,chống lại
age,noun,a1,tuổi
age,verb,b1,tuổi
aged,adjective,b1,già
agency,noun,b2,cơ quan
agenda,noun,b2,chương trình nghị sự
agent,noun,b1,đại lý
aggression,noun,c1,sự hung hăng
aggressive,adjective,b2,hung hăng
ago,adverb,a1,trước đây
agree,verb,a1,đồng ý
agreement,noun,b1,thỏa thuận
agricultural,adjective,c1,nông nghiệp
agriculture,noun,b2,nông nghiệp
ah,exclamation,a2,à
ahead,adverb,b1,phía trước
aid,noun,b2,sự giúp đỡ
aid,verb,b2,viện trợ
aide,noun,c1,phụ tá
AIDS,noun,b2,aids
aim,noun,b1,sự nhắm
aim,verb,b1,nhắm
air,noun,a1,không khí
aircraft,noun,b2,máy bay
airline,noun,a2,hãng hàng không
airport,noun,a1,sân bay
alarm,noun,b1,sự báo động
alarm,verb,b2,báo động
albeit,conjunction,c1,mặc dù
album,noun,b1,album
alcohol,noun,b1,rượu
alcoholic,adjective,b1,rượu
alert,adjective,c1,tỉnh táo
alert,noun,c1,sự báo động
alert,verb,c1,cảnh báo
alien,adjective,c1,nước ngoài
alien,noun,b2,người xa lạ
align,verb,c1,căn chỉnh
alignment,noun,c1,sự sắp xếp
alike,adjective,c1,giống
alike,adverb,c1,giống nhau
alive,adjective,a2,còn sống
all,adverb,a2,hoàn toàn
all,determiner,a1,tất cả
all,pronoun,a1,tất cả
all right,adjective,a2,xem được
all right,adverb,a2,được rồi
all right,exclamation,a2,được rồi
allegation,noun,c1,lời cáo buộc
allege,verb,c1,cáo buộc
allegedly,adverb,c1,được cho là
alliance,noun,c1,liên minh
allocate,verb,c1,phân bổ
allocation,noun,c1,sự phân bổ
allow,verb,a2,cho phép
allowance,noun,c1,phụ cấp
ally,noun,c1,đồng minh
almost,adverb,a2,gần như
alone,adjective,a2,một mình
alone,adverb,a2,một mình
along,adverb,a2,theo chiều dài
along,preposition,a2,dọc theo
alongside,preposition,b2,bên cạnh
already,adverb,a2,đã
also,adverb,a1,cũng
alter,verb,b2,thay đổi
alternative,adjective,b1,xen nhau
alternative,noun,a2,vật thay thế
although,conjunction,a2,mặc dù
altogether,adverb,b2,hoàn toàn
aluminium,noun,c1,nhôm
always,adverb,a1,luôn luôn
amateur,adjective,c1,nghiệp dư
amateur,noun,c1,tài tử
amazed,adjective,b1,ngạc nhiên
amazing,adjective,a1,tuyệt vời
ambassador,noun,c1,đại sứ
ambition,noun,b1,tham vọng
ambitious,adjective,b1,đầy tham vọng
ambulance,noun,b2,xe cứu thương
amend,verb,c1,sửa đổi
amendment,noun,c1,sửa đổi
amid,preposition,c1,ở giữa
among,preposition,a2,trong số
amount,noun,a2,số lượng
amount,verb,b2,lên đến
amusing,adjective,b2,thú vị
analogy,noun,c1,sự tương tự
analyse,verb,b1,phân tích
analysis,noun,b1,phân tích
analyst,noun,b2,nhà phân tích
ancestor,noun,b2,tổ tiên
anchor,noun,c1,mỏ neo
ancient,adjective,a2,cổ xưa
and,conjunction,a1,và
angel,noun,c1,thiên thần
anger,noun,b2,sự tức giận
angle,noun,b2,góc
angrily,adverb,,giận dữ
angry,adjective,a1,tức giận
animal,noun,a1,động vật
animation,noun,b2,hoạt hình
ankle,noun,a2,mắt cá chân
anniversary,noun,b2,ngày kỷ niệm
announce,verb,b1,thông báo
announcement,noun,b1,thông báo
annoy,verb,b1,khó chịu
annoyed,adjective,b1,khó chịu
annoying,adjective,b1,khó chịu
annual,adjective,b2,hàng năm
annually,adverb,b2,hàng năm
anonymous,adjective,c1,vô danh
another,determiner,a1,cái khác
another,pronoun,a1,người khác
answer,noun,a1,sự trả lời
answer,verb,a1,trả lời
anticipate,verb,b2,đoán trước
anxiety,noun,b2,sự lo lắng
anxious,adjective,b2,lo lắng
any,adverb,a2,một
any,determiner,a1,bất kỳ
any,pronoun,a1,một
any more,adverb,a2,nữa
anybody,pronoun,a2,bất cứ ai
anyone,pronoun,a1,bất cứ ai
anything,pronoun,a1,bất cứ điều gì
anyway,adverb,a2,dù sao đi nữa
anywhere,adverb,a2,bất kỳ chỗ nào
anywhere,pronoun,a2,bất cứ nơi nào
apart,adverb,b1,tách biệt
apartment,noun,a1,căn hộ
apologize,verb,b1,xin lỗi
apology,noun,b2,lời xin lỗi
app,noun,a2,ứng dụng
apparatus,noun,c1,bộ máy
apparent,adjective,b2,rõ ràng
apparently,adverb,b2,rõ ràng
appeal,noun,b2,sự kêu gọi
appeal,verb,b2,kêu gọi
appealing,adjective,c1,hấp dẫn
appear,verb,a2,xuất hiện
appearance,noun,a2,ngoại hình
appetite,noun,c1,sự thèm ăn
applaud,verb,c1,vỗ tay
apple,noun,a1,quả táo
applicable,adjective,c1,có thể áp dụng
applicant,noun,b2,người nộp đơn
application,noun,b1,ứng dụng
apply,verb,a2,áp dụng
appoint,verb,c1,bổ nhiệm
appointment,noun,b1,cuộc hẹn
appreciate,verb,b1,đánh giá cao
appreciation,noun,c1,đánh giá cao
approach,noun,b2,sự đến gần
approach,verb,b2,đến gần
appropriate,adjective,b2,thích hợp
appropriately,adverb,b2,một cách thích hợp
approval,noun,b2,sự chấp thuận
approve,verb,b2,chấp thuận
approximately,adverb,b1,khoảng
April,noun,a1,tháng tư
arbitrary,adjective,c1,tùy ý
architect,noun,a2,kiến trúc sư
architectural,adjective,c1,kiến trúc
architecture,noun,a2,kiến trúc
archive,noun,c1,kho lưu trữ
area,noun,a1,khu vực
arena,noun,c1,đấu trường
arguably,adverb,c1,có thể cho là
argue,verb,a2,tranh luận
argument,noun,a2,lý lẽ
arise,verb,b2,phát sinh
arm,noun,a1,cánh tay
arm,verb,c1,vũ trang
armed,adjective,b2,vũ trang
arms,noun,b2,cánh tay
army,noun,a2,quân đội
around,adverb,a1,xung quanh
around,preposition,a1,xung quanh
arrange,verb,a2,sắp xếp
arrangement,noun,a2,sự sắp xếp
array,noun,c1,mảng
arrest,noun,b1,sự bắt giữ
arrest,verb,b1,bắt giữ
arrival,noun,b1,sự đến
arrive,verb,a1,đến
arrow,noun,b2,mũi tên
art,noun,a1,nghệ thuật
article,noun,a1,bài viết
articulate,verb,c1,nói rõ ràng
artificial,adjective,b2,nhân tạo
artist,noun,a1,nghệ sĩ
artistic,adjective,b2,nghệ thuật
artwork,noun,b2,tác phẩm nghệ thuật
as,adverb,a2,như
as,conjunction,a2,lúc khi
as,preposition,a1,như
ash,noun,c1,tro
ashamed,adjective,b2,xấu hổ
aside,adverb,b2,sang một bên
ask,verb,a1,hỏi
asleep,adjective,a2,ngủ
aspect,noun,b2,khía cạnh
aspiration,noun,c1,khát vọng
aspire,verb,c1,khao khát
assassination,noun,c1,vụ ám sát
assault,noun,c1,cuộc tấn công
assault,verb,c1,tấn công
assemble,verb,c1,tập hợp
assembly,noun,c1,lắp ráp
assert,verb,c1,khẳng định
assertion,noun,c1,khẳng định
assess,verb,b2,đánh giá
assessment,noun,b2,đánh giá
asset,noun,b2,tài sản
assign,verb,b2,giao
assignment,noun,b1,nhiệm vụ
assist,verb,b1,hỗ trợ
assistance,noun,b2,sự giúp đỡ
assistant,adjective,a2,giúp đỡ
assistant,noun,a2,người giúp đỡ
associate,verb,b2,cộng sự
associated,adjective,b2,liên quan
association,noun,b2,hiệp hội
assume,verb,b2,giả sử
assumption,noun,b2,giả định
assurance,noun,c1,sự đảm bảo
assure,verb,b2,đảm bảo
astonishing,adjective,b2,đáng kinh ngạc
asylum,noun,c1,tị nạn
at,preposition,a1,tại
athlete,noun,a2,vận động viên
atmosphere,noun,b1,bầu không khí
atrocity,noun,c1,sự tàn bạo
attach,verb,b1,đính kèm
attachment,noun,b2,sự đính kèm
attack,noun,a2,sự tấn công
attack,verb,a2,tấn công
attain,verb,c1,đạt được
attempt,noun,b2,sự cố gắng
attempt,verb,b2,cố gắng
attend,verb,a2,tham dự
attendance,noun,c1,sự tham dự
attention,exclamation,a2,chú ý
attention,noun,a2,sự chú ý
attitude,noun,b1,thái độ
attorney,noun,c1,luật sư
attract,verb,b1,thu hút
attraction,noun,b1,sự hấp dẫn
attractive,adjective,a2,hấp dẫn
attribute,noun,c1,thuộc tính
attribute,verb,c1,cho là do
auction,noun,b2,đấu giá
audience,noun,a2,khán giả
audio,adjective,b2,âm thanh
audit,noun,c1,kiểm toán
August,noun,a1,tháng tám
aunt,noun,a1,dì
authentic,adjective,c1,xác thực
author,noun,a2,tác giả
authority,noun,b1,quyền lực
authorize,verb,c1,ủy quyền
auto,noun,c1,tự động
automatic,adjective,b2,tự động
automatically,adverb,b2,tự động
autonomy,noun,c1,sự tự chủ
autumn,noun,a1,mùa thu
availability,noun,c1,sự sẵn có
available,adjective,a2,có sẵn
average,adjective,a2,trung bình
average,noun,a2,số trung bình
average,verb,b1,tính trung bình
avoid,verb,a2,tránh
await,verb,c1,chờ đợi
award,noun,a2,phần thưởng
award,verb,b1,tặng
aware,adjective,b1,nhận thức được
awareness,noun,b2,nhận thức
away,adverb,a1,đi xa
awful,adjective,a2,khủng khiếp
awkward,adjective,b2,vụng về
baby,noun,a1,em bé
back,adjective,a2,sau
back,adverb,a1,lùi lại
back,noun,a1,lưng
back,verb,b2,lùi
backdrop,noun,c1,phông nền
background,noun,a2,nền
backing,noun,c1,ủng hộ
backup,noun,c1,dự phòng
backwards,adverb,b1,ngược lại
bacteria,noun,b2,vi khuẩn
bad,adjective,a1,xấu
badge,noun,b2,huy hiệu
badly,adverb,a2,tệ
bag,noun,a1,túi
bail,noun,c1,bảo lãnh
bake,verb,b1,nướng
balance,noun,b1,cái cân
balance,verb,b1,làm cho thăng bằng
balanced,adjective,b2,cân bằng
ball,noun,a1,quả bóng
ballet,noun,b2,múa ba lê
balloon,noun,b2,bong bóng
ballot,noun,c1,lá phiếu
ban,noun,b1,cấm
ban,verb,b1,cấm
banana,noun,a1,chuối
band,noun,a1,ban nhạc
bank,noun,a1,ngân hàng
banner,noun,c1,biểu ngữ
bar,noun,a2,barơ
bar,verb,b2,cài
bare,adjective,c1,trần trụi
barely,adverb,b2,hầu như không
bargain,noun,b2,mặc cả
barrel,noun,c1,thùng
barrier,noun,b2,rào cản
base,noun,b1,cơ sở
base,verb,b1,đặt tên
baseball,noun,a2,bóng chày
based,adjective,a2,dựa trên
basement,noun,b2,tầng hầm
basic,adjective,b1,cơ bản
basically,adverb,b2,về cơ bản
basis,noun,b1,cơ sở
basket,noun,b2,cái giỏ
basketball,noun,a2,bóng rổ
bass,noun,c1,âm trầm
bat,noun,b2,gậy
bat,verb,c1,đánh bằng gậy
bath,noun,a1,tắm
bathroom,noun,a1,phòng tắm
battery,noun,b1,pin
battle,noun,b1,trận đánh
battle,verb,b2,chiến đấu
battlefield,noun,c1,chiến trường
bay,noun,c1,vịnh
be,verb,a1,đang
be,auxiliary verb,a1,được
beach,noun,a1,bãi biển
beam,noun,c1,tia
bean,noun,a2,đậu
bear,noun,a2,con gấu
bear,verb,b2,mang
beast,noun,c1,con thú
beat,noun,b2,sự đập
beat,verb,a2,đánh đập
beautiful,adjective,a1,đẹp
beauty,noun,b1,vẻ đẹp
because,conjunction,a1,bởi vì
become,verb,a1,trở thành
bed,noun,a1,giường
bedroom,noun,a1,phòng ngủ
bee,noun,b1,con ong
beef,noun,a2,thịt bò
beer,noun,a1,bia
before,adverb,a2,trước
before,conjunction,a2,trước khi
before,preposition,a1,trước
beg,verb,b2,cầu xin
begin,verb,a1,bắt đầu
beginning,noun,a1,sự khởi đầu
behalf,noun,c1,thay mặt
behave,verb,a2,cư xử
behaviour,noun,a2,hành vi
behind,adverb,a1,sau
behind,preposition,a1,sau
being,noun,b2,là
belief,noun,b1,niềm tin
believe,verb,a1,tin
bell,noun,b1,chuông
belong,verb,a2,thuộc về
beloved,adjective,c1,người yêu
below,adverb,a1,ở hoặc tới một
below,preposition,a1,ở hoặc tới một
belt,noun,a2,thắt lưng
bench,noun,c1,băng ghế dự bị
benchmark,noun,c1,điểm chuẩn
bend,noun,b1,chỗ uốn
bend,verb,b1,cúi xuống
beneath,preposition,c1,bên dưới
beneficial,adjective,b2,có lợi
beneficiary,noun,c1,người thụ hưởng
benefit,noun,a2,lợi
benefit,verb,b1,giúp ích cho
bent,adjective,b2,uốn cong
beside,preposition,b2,bên cạnh
besides,adverb,b2,ngoài ra
besides,preposition,b2,ngoài... ra
best,adjective,a1,tốt nhất
best,adverb,a2,tốt nhất
best,noun,a2,tốt nhất
bet,noun,b2,sự đánh cược
bet,verb,b2,đánh cược
betray,verb,c1,phản bội
better,adjective,a1,cấp so sánh của
better,adverb,a2,cấp so sánh của
better,noun,b1,người trên
between,adverb,a2,ở giữa
between,preposition,a1,giữa
beyond,adverb,b2,ở xa
